CustomerID,Lookalikes
C0001,"[('C0137', 0.999999141193524), ('C0152', 0.9999982545125695), ('C0107', 0.999871728098611)]"
C0002,"[('C0106', 0.9975936597855077), ('C0134', 0.9970937392263066), ('C0056', 0.9959545228044678)]"
C0003,"[('C0133', 0.9999357215538293), ('C0052', 0.9998551969988064), ('C0137', 0.9992994968463214)]"
C0004,"[('C0113', 0.9997287227464806), ('C0034', 0.9994936040020674), ('C0102', 0.9994573971532493)]"
C0005,"[('C0159', 0.9999752920845177), ('C0186', 0.9982735766570053), ('C0007', 0.996730649211991)]"
C0006,"[('C0176', 0.9995828040262853), ('C0042', 0.9994628894846308), ('C0158', 0.99938360582775)]"
C0007,"[('C0115', 0.9985703788005303), ('C0159', 0.9972739861568132), ('C0005', 0.996730649211991)]"
C0008,"[('C0109', 0.9979541114306677), ('C0019', 0.996516365409422), ('C0172', 0.996388596545152)]"
C0009,"[('C0030', 0.9992764759145532), ('C0189', 0.9991027475152284), ('C0038', 0.9989731021285752)]"
C0010,"[('C0199', 0.9987406504877205), ('C0067', 0.9979131735510812), ('C0154', 0.9973109525976708)]"
C0011,"[('C0107', 0.9999802876783406), ('C0048', 0.9999745223482824), ('C0152', 0.999791362697836)]"
C0012,"[('C0155', 0.9999772518771259), ('C0108', 0.9998431292601708), ('C0055', 0.999405995775357)]"
C0013,"[('C0087', 0.9996322264545728), ('C0155', 0.9995965809313024), ('C0012', 0.9993822688026586)]"
C0014,"[('C0130', 0.9987513909363656), ('C0095', 0.9985818069374649), ('C0150', 0.9984570826830337)]"
C0015,"[('C0129', 0.9995936864454276), ('C0120', 0.9995854201579161), ('C0144', 0.9995794738599607)]"
C0016,"[('C0183', 0.9999979878768028), ('C0163', 0.9988216879805345), ('C0087', 0.9987212702566204)]"
C0017,"[('C0124', 0.9975360720973434), ('C0075', 0.99696452329353), ('C0179', 0.9891617401709296)]"
C0018,"[('C0117', 0.9982893227619982), ('C0079', 0.9979569977242773), ('C0062', 0.9974946475684184)]"
C0019,"[('C0172', 0.9999976384586678), ('C0109', 0.9974944235318167), ('C0008', 0.996516365409422)]"
C0020,"[('C0198', 0.9943881717245198), ('C0144', 0.9936027894996787), ('C0042', 0.9922328859879417)]"
